stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 15:28:06 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 15:28:15 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 15:28:20 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 15:28:20 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 15:28:24 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 52, userId: user03, date: Sun Mar 16 2014 16:34:30 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 52, userId: user03, date: Sun Mar 16 2014 16:34:32 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 52, userId: user03, date: Sun Mar 16 2014 16:34:33 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 16:35:15 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 16:35:16 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 16:35:21 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 16:35:25 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 16:35:27 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 52, userId: user03, date: Sun Mar 16 2014 16:43:48 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 52, userId: user03, date: Sun Mar 16 2014 16:43:50 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, price: 61, userId: user06, date: Sun Mar 16 2014 16:44:41 GMT+0800 (Malay Peninsula Standard Time)
